RB処理日,年度_4月起点,年月,四半期_4月起点,会社_営業_コード_最新,会社_営業_名_最新,営業部門コード_最新,営業部門名_最新,営業部署コード_最新,営業部署名_最新,会社_G発注元コード_最新,会社_G発注元名_最新,G発注元部門コード_最新,G発注元部門名_最新,G発注元部署コード_最新,G発注元部署名_最新,会社_制作媒体コード_最新,会社_制作媒体名_最新,制作媒体部門コード_最新,制作媒体部門名_最新,制作媒体部署コード_最新,制作媒体部署名_最新,得意先コード,得意先名,広告主コード,広告主名,広告主業種_大コード,広告主業種_大名,広告主業種_中コード,広告主業種_中名,広告主業種_小コード,広告主業種_小名,広告主企業グループコード,広告主企業グループ名,広告主企業グループ業種_大コード,広告主企業グループ業種_大名,広告主企業グループ業種_中コード,広告主企業グループ業種_中名,広告主企業グループ業種_小コード,広告主企業グループ業種_小名,支払先コード,支払先名,マスメディア区分,マスメディア区分名,実施媒体社コード,実施媒体社名,売上種目コード,売上種目名,媒体種目コード,媒体種目名,媒体種類コード,媒体種類名,ビークルコード,ビークル名,仕入高予算,仕入高_建値,媒体戦略原価B予算,媒体戦略原価B_正味,媒体収益予算,媒体収益実績_正味,FC営収予算_社内_社外,FC営収_社内_社外,スタッフコスト
20241005,2024,202410,3Q,E009,株式会社大広ONES,SD02,第二営業本部,SD02-01,第三営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C007,キリンホールディングス株式会社,A006,サントリー,IND03,食品・飲料,IND03-01,飲料,IND03-01-01,清涼飲料,AG05,サントリーグループ,GI03,食品・飲料,GI03-01,飲料,GI03-01-01,清涼飲料,P011,Google合同会社,M01,テレビ,MC12,Meta,SC09,交通広告,MT10,ビルボード,MK07,FM放送,V014,東京メトロ車内,36855521,26573036,26179334,27163824,7933676,8465874,4293222,3919302,1111353
20240909,2024,202409,2Q,E004,株式会社スパイスボックス,SD03,デジタル営業本部,SD03-01,デジタル第一営業部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C004,株式会社資生堂,A007,キリン,IND03,食品・飲料,IND03-02,酒類,IND03-02-01,ビール,AG06,キリングループ,GI03,食品・飲料,GI03-02,酒類,GI03-02-01,ビール,P005,株式会社テレビ朝日,M03,雑誌,MC05,テレビ東京,SC05,ラジオスポット,MT04,月刊誌,MK02,BS・CS,V002,日テレ系全国ネット,11797039,12905238,8432928,6917163,3387849,2669654,914911,1074033,675021
20250105,2024,202501,4Q,H006,株式会社博報堂DYアウトドア,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C003,日産自動車株式会社,A018,日清食品,IND03,食品・飲料,IND03-03,食品,IND03-03-02,即席麺,AG17,日清食品グループ,GI03,食品・飲料,GI03-03,食品,GI03-03-02,即席麺,P013,ヤフー株式会社,M05,デジタル,MC09,日経新聞,SC05,ラジオスポット,MT02,タイムCM,MK06,月刊誌,V009,YouTube広告,35012071,29344192,22985423,25131029,10000320,9142107,4747270,4102301,2296784
20240726,2024,202407,2Q,H008,デジタル・アドバタイジング・コンソーシアム株式会社,SD05,関西営業本部,SD05-02,関西第二営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C001,トヨタ自動車株式会社,A007,キリン,IND03,食品・飲料,IND03-02,酒類,IND03-02-01,ビール,AG06,キリングループ,GI03,食品・飲料,GI03-02,酒類,GI03-02-01,ビール,P012,Meta日本株式会社,M03,雑誌,MC07,朝日新聞,SC04,雑誌広告,MT09,駅構内,MK05,週刊誌,V015,渋谷大型ビジョン,9263762,11971011,7305084,7474754,1454606,1836620,662284,815054,735555
20231012,2023,202310,3Q,H008,デジタル・アドバタイジング・コンソーシアム株式会社,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C027,JTBグループ,A001,トヨタ自動車,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P018,株式会社サイバーエージェント,M06,OOH（屋外）,MC14,JR東日本企画,SC07,動画広告,MT07,ディスプレイ,MK08,AM放送,V015,渋谷大型ビジョン,47233344,50486440,32606457,35818960,4924926,5960608,6870193,6701533,3671050
20240123,2023,202401,4Q,E005,株式会社エムハンド,SD03,デジタル営業本部,SD03-02,デジタル第二営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C009,株式会社NTTドコモ,A004,資生堂,IND02,化粧品・トイレタリー,IND02-01,化粧品,IND02-01-01,スキンケア,AG03,資生堂グループ,GI02,化粧品・トイレタリー,GI02-01,化粧品,GI02-01-01,スキンケア,P010,株式会社毎日新聞社,M02,新聞,MC04,テレビ朝日,SC04,雑誌広告,MT07,ディスプレイ,MK01,地上波テレビ,V011,LINE広告,11964426,8905607,7804049,8206065,2896261,3341828,1279731,1085923,723949
20250206,2024,202502,4Q,E009,株式会社大広ONES,SD05,関西営業本部,SD05-01,関西第一営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C008,味の素株式会社,A010,KDDI,IND04,情報・通信,IND04-01,通信,IND04-01-01,携帯電話,AG09,KDDIグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P006,株式会社テレビ東京,M06,OOH（屋外）,MC01,TBSテレビ,SC10,屋外広告,MT09,駅構内,MK09,検索連動型,V005,朝日新聞朝刊全国版,47654215,34564118,30255248,30190496,5482314,6506885,5198096,6653628,3572176
20240923,2024,202409,2Q,E005,株式会社エムハンド,SD01,第一営業本部,SD01-02,第二営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C003,日産自動車株式会社,A020,セブン＆アイ,IND08,流通・小売,IND08-02,コンビニ,IND08-02-01,コンビニエンスストア,AG19,セブン＆アイグループ,GI08,流通・小売,GI08-02,コンビニ,GI08-02-01,コンビニエンスストア,P019,株式会社集英社,M03,雑誌,MC13,LINE,SC08,SNS広告,MT04,月刊誌,MK12,インストリーム動画,V011,LINE広告,44892478,51965040,23819991,22322421,6476690,7058704,5445589,7069911,1861900
20230402,2023,202304,1Q,E006,株式会社コスモ・コミュニケーションズ,SD03,デジタル営業本部,SD03-02,デジタル第二営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C011,ソフトバンク株式会社,A010,KDDI,IND04,情報・通信,IND04-01,通信,IND04-01-01,携帯電話,AG09,KDDIグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P020,株式会社講談社,M02,新聞,MC14,JR東日本企画,SC02,テレビタイム,MT05,FMスポット,MK15,デジタルサイネージ,V006,読売新聞朝刊全国版,46402978,58546743,27762304,28067437,6491651,5894525,5026179,5030994,2337448
20240103,2023,202401,4Q,E010,株式会社読広インターナショナル,SD02,第二営業本部,SD02-01,第三営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C030,イオン株式会社,A013,ソニー,IND05,電気機器,IND05-02,エンタテインメント,IND05-02-01,ゲーム,AG12,ソニーグループ,GI05,電気機器,GI05-02,エンタテインメント,GI05-02-01,ゲーム,P002,株式会社TBSテレビ,M05,デジタル,MC03,フジテレビ,SC04,雑誌広告,MT03,全国紙,MK12,インストリーム動画,V013,JR首都圏主要駅,44001937,50245756,25251794,19942805,12052939,13322306,2753362,3549989,2680459
20230807,2023,202308,2Q,D004,株式会社大広北海道,SD01,第一営業本部,SD01-02,第二営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C006,サントリーホールディングス株式会社,A004,資生堂,IND02,化粧品・トイレタリー,IND02-01,化粧品,IND02-01-01,スキンケア,AG03,資生堂グループ,GI02,化粧品・トイレタリー,GI02-01,化粧品,GI02-01-01,スキンケア,P006,株式会社テレビ東京,M02,新聞,MC14,JR東日本企画,SC10,屋外広告,MT08,動画配信,MK13,駅看板,V005,朝日新聞朝刊全国版,39199248,39353538,27014733,20017761,9128605,9170770,3714722,4724838,1776035
20250222,2024,202502,4Q,D001,株式会社大広,SD01,第一営業本部,SD01-01,第一営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C024,日清食品ホールディングス株式会社,A015,リクルート,IND07,サービス,IND07-01,人材,IND07-01-01,求人,AG14,リクルートグループ,GI07,サービス,GI07-01,人材,GI07-01-01,求人,P016,株式会社JR東日本企画,M01,テレビ,MC01,TBSテレビ,SC08,SNS広告,MT07,ディスプレイ,MK09,検索連動型,V001,TBS系全国ネット,379315,432870,242005,238039,73640,61380,36034,30936,14767
20230801,2023,202308,2Q,H008,デジタル・アドバタイジング・コンソーシアム株式会社,SD01,第一営業本部,SD01-01,第一営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C012,パナソニック株式会社,A002,レクサス,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-02,高級車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P011,Google合同会社,M04,ラジオ,MC02,日本テレビ,SC07,動画広告,MT02,タイムCM,MK10,ディスプレイ広告,V005,朝日新聞朝刊全国版,15633504,16839511,9247076,7266893,3584162,4661414,830767,647547,1201759
20240203,2023,202402,4Q,Y003,株式会社読広プランニング,SD01,第一営業本部,SD01-01,第一営業部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C004,株式会社資生堂,A013,ソニー,IND05,電気機器,IND05-02,エンタテインメント,IND05-02-01,ゲーム,AG12,ソニーグループ,GI05,電気機器,GI05-02,エンタテインメント,GI05-02-01,ゲーム,P001,株式会社電通,M01,テレビ,MC01,TBSテレビ,SC01,テレビスポット,MT08,動画配信,MK11,SNSフィード,V003,フジ系全国ネット,32081791,35023538,24935508,28320881,3311207,2480903,3468950,4249848,1577674
20230704,2023,202307,2Q,H010,株式会社博報堂DYホールディングス,SD01,第一営業本部,SD01-01,第一営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C001,トヨタ自動車株式会社,A001,トヨタ自動車,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P012,Meta日本株式会社,M06,OOH（屋外）,MC07,朝日新聞,SC08,SNS広告,MT07,ディスプレイ,MK02,BS・CS,V004,テレ朝系全国ネット,25786572,20219008,20013790,14378853,7351314,7001920,3051629,3463667,1367013
20240209,2023,202402,4Q,Y005,株式会社読広エージェンシー,SD01,第一営業本部,SD01-01,第一営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C020,楽天グループ株式会社,A003,本田技研工業,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG02,ホンダグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P003,日本テレビ放送網株式会社,M02,新聞,MC01,TBSテレビ,SC02,テレビタイム,MT07,ディスプレイ,MK14,電車内広告,V008,Google検索広告,47077652,34986558,25182342,20538862,13709703,8555769,4564017,3984222,3065554
20241124,2024,202411,3Q,E006,株式会社コスモ・コミュニケーションズ,SD04,メディア営業本部,SD04-01,メディア営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C018,日本生命保険相互会社,A006,サントリー,IND03,食品・飲料,IND03-01,飲料,IND03-01-01,清涼飲料,AG05,サントリーグループ,GI03,食品・飲料,GI03-01,飲料,GI03-01-01,清涼飲料,P003,日本テレビ放送網株式会社,M02,新聞,MC12,Meta,SC06,デジタル広告,MT04,月刊誌,MK15,デジタルサイネージ,V003,フジ系全国ネット,6239435,5715842,4940438,5808603,627355,404375,648876,503502,330387
20241126,2024,202411,3Q,D002,株式会社大広WEDO,SD05,関西営業本部,SD05-02,関西第二営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C005,花王株式会社,A016,楽天,IND04,情報・通信,IND04-02,IT,IND04-02-01,EC,AG15,楽天グループ,GI04,情報・通信,GI04-02,IT,GI04-02-01,EC,P011,Google合同会社,M03,雑誌,MC06,NHK,SC10,屋外広告,MT04,月刊誌,MK13,駅看板,V011,LINE広告,30092544,28479897,22163908,19660311,6955119,4234444,3243426,3821416,1840319
20250117,2024,202501,4Q,H009,株式会社アイレップ,SD01,第一営業本部,SD01-02,第二営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C007,キリンホールディングス株式会社,A014,三菱UFJ,IND06,金融・保険,IND06-01,銀行,IND06-01-01,都市銀行,AG13,MUFGグループ,GI06,金融・保険,GI06-01,銀行,GI06-01-01,都市銀行,P016,株式会社JR東日本企画,M06,OOH（屋外）,MC14,JR東日本企画,SC07,動画広告,MT02,タイムCM,MK05,週刊誌,V009,YouTube広告,40305025,38261693,20639086,20002776,11908602,10298277,5525700,5947087,1238219
20241114,2024,202411,3Q,E003,株式会社博報堂マーケティングシステムズ,SD03,デジタル営業本部,SD03-02,デジタル第二営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C025,大塚ホールディングス株式会社,A010,KDDI,IND04,情報・通信,IND04-01,通信,IND04-01-01,携帯電話,AG09,KDDIグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P009,株式会社日本経済新聞社,M04,ラジオ,MC14,JR東日本企画,SC07,動画広告,MT06,リスティング,MK13,駅看板,V007,日経新聞朝刊,14136190,10972707,10729379,9042070,3235513,4284298,1586726,1570072,333147
20241128,2024,202411,3Q,H007,株式会社博報堂DYスポーツマーケティング,SD05,関西営業本部,SD05-01,関西第一営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C015,三菱UFJフィナンシャル・グループ,A003,本田技研工業,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG02,ホンダグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P007,株式会社朝日新聞社,M05,デジタル,MC01,TBSテレビ,SC06,デジタル広告,MT02,タイムCM,MK07,FM放送,V012,Yahoo!ディスプレイ,46074942,38604818,25702221,25653807,9661645,7171080,6207558,5018169,2480875
20250102,2024,202501,4Q,Y001,株式会社読売広告社,SD01,第一営業本部,SD01-02,第二営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C030,イオン株式会社,A002,レクサス,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-02,高級車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P015,LINE株式会社,M01,テレビ,MC03,フジテレビ,SC03,新聞広告,MT03,全国紙,MK15,デジタルサイネージ,V013,JR首都圏主要駅,14793841,13408812,9892252,7881384,4192133,3813331,769406,609748,1175587
20231005,2023,202310,3Q,Y005,株式会社読広エージェンシー,SD05,関西営業本部,SD05-01,関西第一営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C011,ソフトバンク株式会社,A009,NTTドコモ,IND04,情報・通信,IND04-01,通信,IND04-01-01,携帯電話,AG08,NTTグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P020,株式会社講談社,M06,OOH（屋外）,MC10,Google,SC09,交通広告,MT01,スポットCM,MK14,電車内広告,V008,Google検索広告,33099755,33373678,20415125,21367772,4836365,5253759,2449372,2104603,2296253
20231007,2023,202310,3Q,H010,株式会社博報堂DYホールディングス,SD01,第一営業本部,SD01-02,第二営業部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C016,株式会社三井住友銀行,A007,キリン,IND03,食品・飲料,IND03-02,酒類,IND03-02-01,ビール,AG06,キリングループ,GI03,食品・飲料,GI03-02,酒類,GI03-02-01,ビール,P017,株式会社東急エージェンシー,M04,ラジオ,MC10,Google,SC06,デジタル広告,MT03,全国紙,MK06,月刊誌,V013,JR首都圏主要駅,43423829,52224285,31990223,28881945,9471048,11790482,5619129,5087104,1426168
20230608,2023,202306,1Q,H010,株式会社博報堂DYホールディングス,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C003,日産自動車株式会社,A006,サントリー,IND03,食品・飲料,IND03-01,飲料,IND03-01-01,清涼飲料,AG05,サントリーグループ,GI03,食品・飲料,GI03-01,飲料,GI03-01-01,清涼飲料,P018,株式会社サイバーエージェント,M01,テレビ,MC08,読売新聞,SC07,動画広告,MT03,全国紙,MK15,デジタルサイネージ,V013,JR首都圏主要駅,26581432,31690437,19170574,22650423,3484079,2746870,1861167,2246300,1642740
20241123,2024,202411,3Q,E010,株式会社読広インターナショナル,SD02,第二営業本部,SD02-01,第三営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C018,日本生命保険相互会社,A009,NTTドコモ,IND04,情報・通信,IND04-01,通信,IND04-01-01,携帯電話,AG08,NTTグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P016,株式会社JR東日本企画,M04,ラジオ,MC04,テレビ朝日,SC10,屋外広告,MT08,動画配信,MK01,地上波テレビ,V007,日経新聞朝刊,45235355,49077645,27008204,30460985,9511461,11300329,3846698,4021901,2240180
