RB処理日,会社,部門G,部門,部署,年度,年月,四半期,管理項目コード,管理項目名称,補助項目コード,補助項目名称,実績,予算
20240919,博報堂DYメディアパートナーズ,デジタル統括,制作部,企画課,2024,202409,2Q,500002,媒体社リベート,S005,確定,5671656,5156834
20230909,大広,デジタル統括,経営企画部,第二課,2023,202309,2Q,300002,経常利益,S003,調整,36193115,38225015
20230428,博報堂,メディア統括,第二営業部,開発課,2023,202304,1Q,500001,広告主負担金,S003,調整,466248396,468418871
20240219,大広,営業統括,制作部,第三課,2023,202402,4Q,100002,売上原価,S001,通常,143526021,117690869
20240317,読売広告社,管理統括,メディアプランニング部,企画課,2023,202403,4Q,200002,経費,S002,特別,49949287,68501330
20241122,博報堂プロダクツ,メディア統括,メディアプランニング部,管理課,2024,202411,3Q,400002,制作収入,S002,特別,48261246,55097351
20250217,読売広告社,営業統括,デジタルマーケティング部,企画課,2024,202502,4Q,400002,制作収入,S003,調整,57344561,77279326
20240525,博報堂,デジタル統括,第二営業部,企画課,2024,202405,1Q,400001,媒体手数料収入,S002,特別,54984187,57543111
20230613,博報堂DYメディアパートナーズ,管理統括,経営企画部,運用課,2023,202306,1Q,400001,媒体手数料収入,S002,特別,3886522,5990087
20241121,博報堂プロダクツ,クリエイティブ統括,制作部,管理課,2024,202411,3Q,100002,売上原価,S003,調整,419925459,367325649
20230703,博報堂DYメディアパートナーズ,営業統括,経営企画部,推進課,2023,202307,2Q,200003,減価償却費,S001,通常,73168233,94171809
20250301,博報堂プロダクツ,デジタル統括,財務経理部,第三課,2024,202503,4Q,400003,コンサルティング収入,S004,見込,550013210,436587849
20240212,博報堂DYメディアパートナーズ,メディア統括,総務部,第一課,2023,202402,4Q,200001,人件費,S003,調整,240947296,227203924
20230915,読売広告社,メディア統括,人事部,第二課,2023,202309,2Q,400003,コンサルティング収入,S003,調整,58673547,76913824
20230406,博報堂DYメディアパートナーズ,デジタル統括,制作部,運用課,2023,202304,1Q,400001,媒体手数料収入,S001,通常,253015382,329988606
20240928,博報堂プロダクツ,営業統括,総務部,第二課,2024,202409,2Q,200003,減価償却費,S005,確定,25273440,33056775
20231022,大広,クリエイティブ統括,人事部,第三課,2023,202310,3Q,200002,経費,S001,通常,231519712,210869591
20230818,大広,営業統括,経営企画部,運用課,2023,202308,2Q,100001,売上高,S004,見込,208728135,194624392
20240409,博報堂,メディア統括,制作部,運用課,2024,202404,1Q,400002,制作収入,S004,見込,231225632,344046368
20240404,読売広告社,管理統括,メディアプランニング部,運用課,2024,202404,1Q,300002,経常利益,S005,確定,211612965,324101636
20241026,読売広告社,営業統括,第二営業部,第二課,2024,202410,3Q,100002,売上原価,S001,通常,36008961,49002005
20241116,博報堂DYメディアパートナーズ,営業統括,メディアプランニング部,第三課,2024,202411,3Q,500001,広告主負担金,S002,特別,20689744,22722853
20240925,博報堂,メディア統括,総務部,企画課,2024,202409,2Q,300001,営業利益,S002,特別,250136353,184334403
20240703,博報堂DYメディアパートナーズ,営業統括,総務部,管理課,2024,202407,2Q,400002,制作収入,S003,調整,227951641,379376595
20230919,博報堂プロダクツ,クリエイティブ統括,総務部,開発課,2023,202309,2Q,300002,経常利益,S005,確定,33079883,47550636
20250211,博報堂,管理統括,人事部,企画課,2024,202502,4Q,200001,人件費,S001,通常,411904144,391518275
20240528,博報堂DYメディアパートナーズ,営業統括,メディアプランニング部,開発課,2024,202405,1Q,400002,制作収入,S001,通常,388200852,302940589
20250217,博報堂,クリエイティブ統括,第一営業部,開発課,2024,202502,4Q,200001,人件費,S003,調整,54860322,49005413
20241013,博報堂,営業統括,総務部,企画課,2024,202410,3Q,100001,売上高,S005,確定,230907884,196501382
20241208,博報堂,デジタル統括,第一営業部,第三課,2024,202412,3Q,400003,コンサルティング収入,S004,見込,388061907,425740691
20231008,博報堂プロダクツ,デジタル統括,第二営業部,運用課,2023,202310,3Q,400003,コンサルティング収入,S004,見込,114623960,123834171
20240724,博報堂プロダクツ,メディア統括,第一営業部,企画課,2024,202407,2Q,200002,経費,S005,確定,186196080,135562864
20230923,大広,デジタル統括,デジタルマーケティング部,運用課,2023,202309,2Q,400001,媒体手数料収入,S003,調整,208913995,344534423
20241228,博報堂,管理統括,デジタルマーケティング部,企画課,2024,202412,3Q,200001,人件費,S002,特別,374347461,349969534
20231212,博報堂プロダクツ,クリエイティブ統括,経営企画部,管理課,2023,202312,3Q,400001,媒体手数料収入,S004,見込,174701276,210260206
20241120,大広,メディア統括,クリエイティブ部,第三課,2024,202411,3Q,400002,制作収入,S002,特別,436891221,438716887
20231227,読売広告社,営業統括,総務部,第三課,2023,202312,3Q,500002,媒体社リベート,S005,確定,396325135,462395904
20231228,博報堂DYメディアパートナーズ,営業統括,デジタルマーケティング部,第二課,2023,202312,3Q,500001,広告主負担金,S002,特別,197510718,220346280
20230425,博報堂,営業統括,財務経理部,運用課,2023,202304,1Q,500002,媒体社リベート,S004,見込,65452885,69491946
20230614,大広,メディア統括,制作部,第一課,2023,202306,1Q,100003,売上総利益,S004,見込,229386121,177845598
20231201,博報堂プロダクツ,メディア統括,第一営業部,第二課,2023,202312,3Q,200002,経費,S001,通常,192933256,246293546
20240114,博報堂DYメディアパートナーズ,管理統括,総務部,推進課,2023,202401,4Q,300001,営業利益,S003,調整,221115732,246758587
20250306,読売広告社,クリエイティブ統括,デジタルマーケティング部,推進課,2024,202503,4Q,100001,売上高,S001,通常,266870530,199968515
20231028,博報堂DYメディアパートナーズ,営業統括,経営企画部,推進課,2023,202310,3Q,400003,コンサルティング収入,S002,特別,21469163,18499079
20240411,大広,管理統括,経営企画部,開発課,2024,202404,1Q,100001,売上高,S002,特別,98274146,163740326
20240107,博報堂DYメディアパートナーズ,営業統括,総務部,開発課,2023,202401,4Q,100003,売上総利益,S001,通常,311910414,352974715
20250204,読売広告社,デジタル統括,第一営業部,第一課,2024,202502,4Q,100001,売上高,S004,見込,492480502,453757779
20250128,博報堂,管理統括,制作部,第三課,2024,202501,4Q,100003,売上総利益,S001,通常,480699523,388214601
20250120,博報堂プロダクツ,管理統括,財務経理部,第一課,2024,202501,4Q,100003,売上総利益,S002,特別,145135497,202536171
20230616,大広,デジタル統括,クリエイティブ部,開発課,2023,202306,1Q,300001,営業利益,S001,通常,228858087,181707073
20240918,大広,営業統括,総務部,第一課,2024,202409,2Q,100001,売上高,S004,見込,389047326,366610451
20250209,博報堂,営業統括,メディアプランニング部,第三課,2024,202502,4Q,300001,営業利益,S002,特別,68724080,111058457
20241116,博報堂DYメディアパートナーズ,メディア統括,第二営業部,企画課,2024,202411,3Q,400001,媒体手数料収入,S002,特別,521417963,471384896
20241106,大広,デジタル統括,財務経理部,管理課,2024,202411,3Q,400001,媒体手数料収入,S004,見込,96615417,118083809
20240916,博報堂,メディア統括,総務部,企画課,2024,202409,2Q,200002,経費,S002,特別,246169798,203154859
20250124,大広,デジタル統括,メディアプランニング部,推進課,2024,202501,4Q,500001,広告主負担金,S003,調整,124362929,204543162
20240922,読売広告社,メディア統括,人事部,企画課,2024,202409,2Q,500001,広告主負担金,S003,調整,34102187,44592880
20230503,大広,営業統括,総務部,第二課,2023,202305,1Q,100002,売上原価,S004,見込,397141046,462748749
20240212,博報堂プロダクツ,メディア統括,デジタルマーケティング部,運用課,2023,202402,4Q,500001,広告主負担金,S002,特別,471585841,349828416
20231102,大広,メディア統括,デジタルマーケティング部,開発課,2023,202311,3Q,200001,人件費,S003,調整,331578826,493835455
20240215,博報堂,メディア統括,デジタルマーケティング部,推進課,2023,202402,4Q,200002,経費,S005,確定,243764076,378238149
20230526,博報堂DYメディアパートナーズ,メディア統括,総務部,推進課,2023,202305,1Q,200003,減価償却費,S001,通常,217798751,162152325
20241112,博報堂DYメディアパートナーズ,デジタル統括,クリエイティブ部,企画課,2024,202411,3Q,500002,媒体社リベート,S005,確定,156865226,171079140
20240324,博報堂プロダクツ,デジタル統括,第一営業部,第二課,2023,202403,4Q,500001,広告主負担金,S003,調整,244528758,391849232
20241005,博報堂DYメディアパートナーズ,デジタル統括,財務経理部,推進課,2024,202410,3Q,500001,広告主負担金,S001,通常,165703661,133466834
20230813,大広,営業統括,財務経理部,第三課,2023,202308,2Q,200002,経費,S005,確定,148136333,217931318
20240604,読売広告社,管理統括,経営企画部,第一課,2024,202406,1Q,200003,減価償却費,S004,見込,209011421,168966990
20240307,博報堂,メディア統括,総務部,第一課,2023,202403,4Q,500001,広告主負担金,S004,見込,171304588,229157401
20240604,大広,デジタル統括,人事部,運用課,2024,202406,1Q,200002,経費,S002,特別,380612111,296107622
20240422,博報堂DYメディアパートナーズ,デジタル統括,第二営業部,開発課,2024,202404,1Q,200002,経費,S004,見込,164461334,127966159
20250115,博報堂DYメディアパートナーズ,営業統括,メディアプランニング部,運用課,2024,202501,4Q,400002,制作収入,S002,特別,328208132,341165175
20240314,博報堂プロダクツ,クリエイティブ統括,第二営業部,運用課,2023,202403,4Q,400002,制作収入,S001,通常,281891997,279235927
20230721,博報堂,管理統括,人事部,第一課,2023,202307,2Q,200003,減価償却費,S003,調整,16545625,21602157
20250319,大広,メディア統括,総務部,第二課,2024,202503,4Q,200002,経費,S004,見込,233954362,286222070
20240305,博報堂,メディア統括,総務部,第二課,2023,202403,4Q,100002,売上原価,S005,確定,341726800,347450249
20240407,読売広告社,クリエイティブ統括,デジタルマーケティング部,第二課,2024,202404,1Q,300001,営業利益,S001,通常,531374273,490946745
20240317,博報堂,メディア統括,総務部,推進課,2023,202403,4Q,300001,営業利益,S002,特別,161628993,116825430
20240521,博報堂,メディア統括,デジタルマーケティング部,推進課,2024,202405,1Q,500001,広告主負担金,S001,通常,349558473,478341490
20241109,博報堂DYメディアパートナーズ,営業統括,経営企画部,企画課,2024,202411,3Q,200002,経費,S003,調整,148209710,206776366
20241205,大広,メディア統括,第二営業部,第三課,2024,202412,3Q,500002,媒体社リベート,S003,調整,331711910,254102041
20231012,読売広告社,管理統括,クリエイティブ部,管理課,2023,202310,3Q,400003,コンサルティング収入,S005,確定,23190132,27478592
20231227,博報堂DYメディアパートナーズ,デジタル統括,財務経理部,運用課,2023,202312,3Q,200002,経費,S003,調整,390455917,449460637
20240718,博報堂,クリエイティブ統括,デジタルマーケティング部,第二課,2024,202407,2Q,100001,売上高,S005,確定,290199366,319048134
20240825,博報堂,管理統括,総務部,企画課,2024,202408,2Q,400003,コンサルティング収入,S002,特別,666773151,493897977
20230912,博報堂,メディア統括,制作部,管理課,2023,202309,2Q,400002,制作収入,S001,通常,139591704,169878641
20241009,博報堂プロダクツ,管理統括,第二営業部,第二課,2024,202410,3Q,100003,売上総利益,S005,確定,173684832,205128080
20231121,読売広告社,管理統括,第一営業部,第一課,2023,202311,3Q,200003,減価償却費,S005,確定,267835314,280217697
20230918,博報堂,クリエイティブ統括,第二営業部,推進課,2023,202309,2Q,300002,経常利益,S004,見込,415112022,373301882
20230422,大広,管理統括,クリエイティブ部,運用課,2023,202304,1Q,300002,経常利益,S004,見込,466878384,437630714
20250218,博報堂,管理統括,クリエイティブ部,開発課,2024,202502,4Q,200002,経費,S005,確定,367678405,314852312
20231126,大広,営業統括,人事部,第二課,2023,202311,3Q,500001,広告主負担金,S005,確定,654744594,473048037
20240708,大広,メディア統括,制作部,第二課,2024,202407,2Q,300001,営業利益,S001,通常,356883888,271367846
20230727,博報堂,クリエイティブ統括,メディアプランニング部,開発課,2023,202307,2Q,500001,広告主負担金,S005,確定,273213365,207167623
20230702,博報堂,営業統括,財務経理部,第二課,2023,202307,2Q,200003,減価償却費,S001,通常,32686681,50042594
20240923,博報堂DYメディアパートナーズ,デジタル統括,人事部,開発課,2024,202409,2Q,200001,人件費,S002,特別,267943255,434400799
20241125,博報堂プロダクツ,管理統括,制作部,管理課,2024,202411,3Q,400003,コンサルティング収入,S004,見込,250017670,402590648
20230720,博報堂プロダクツ,メディア統括,第二営業部,開発課,2023,202307,2Q,400001,媒体手数料収入,S003,調整,109559911,112384014
20240115,博報堂DYメディアパートナーズ,メディア統括,経営企画部,第一課,2023,202401,4Q,300002,経常利益,S003,調整,234150248,388062432
20230911,博報堂プロダクツ,管理統括,第一営業部,第一課,2023,202309,2Q,100001,売上高,S003,調整,263303551,272009170
20241014,博報堂,メディア統括,第二営業部,企画課,2024,202410,3Q,300001,営業利益,S002,特別,428580414,329705456
20250302,大広,メディア統括,デジタルマーケティング部,第一課,2024,202503,4Q,500001,広告主負担金,S002,特別,193435366,268965870
20230511,博報堂,営業統括,第二営業部,推進課,2023,202305,1Q,200002,経費,S001,通常,327610342,355587297
20240128,大広,管理統括,人事部,第一課,2023,202401,4Q,400002,制作収入,S004,見込,350699769,266312786
20240728,博報堂プロダクツ,営業統括,クリエイティブ部,推進課,2024,202407,2Q,400003,コンサルティング収入,S002,特別,472382071,339472615
20250119,読売広告社,営業統括,クリエイティブ部,運用課,2024,202501,4Q,500001,広告主負担金,S005,確定,168516114,138629596
20230803,博報堂,管理統括,人事部,運用課,2023,202308,2Q,500002,媒体社リベート,S005,確定,480581924,465802938
20240206,博報堂,営業統括,クリエイティブ部,推進課,2023,202402,4Q,200003,減価償却費,S002,特別,78840199,59519625
20240904,大広,管理統括,デジタルマーケティング部,管理課,2024,202409,2Q,500001,広告主負担金,S004,見込,33764048,28341512
20231012,博報堂,メディア統括,デジタルマーケティング部,運用課,2023,202310,3Q,400002,制作収入,S004,見込,121091993,98925260
20240417,博報堂,管理統括,第一営業部,開発課,2024,202404,1Q,300002,経常利益,S001,通常,87403891,86953927
20230927,大広,クリエイティブ統括,デジタルマーケティング部,管理課,2023,202309,2Q,500001,広告主負担金,S005,確定,108928951,104418453
20230704,博報堂,クリエイティブ統括,クリエイティブ部,運用課,2023,202307,2Q,500001,広告主負担金,S004,見込,124356067,110538627
20240220,博報堂プロダクツ,クリエイティブ統括,デジタルマーケティング部,第二課,2023,202402,4Q,500001,広告主負担金,S005,確定,159887784,181245730
20240422,博報堂プロダクツ,デジタル統括,人事部,第二課,2024,202404,1Q,500002,媒体社リベート,S002,特別,93944296,79350640
20241115,博報堂DYメディアパートナーズ,メディア統括,制作部,開発課,2024,202411,3Q,400003,コンサルティング収入,S005,確定,331345502,299752924
20230428,博報堂DYメディアパートナーズ,デジタル統括,制作部,開発課,2023,202304,1Q,200002,経費,S003,調整,73449459,101494816
20240813,博報堂DYメディアパートナーズ,クリエイティブ統括,財務経理部,開発課,2024,202408,2Q,400003,コンサルティング収入,S002,特別,262036587,324234854
20230814,大広,管理統括,経営企画部,第三課,2023,202308,2Q,200001,人件費,S001,通常,190469926,145500620
20231005,博報堂DYメディアパートナーズ,デジタル統括,メディアプランニング部,推進課,2023,202310,3Q,300002,経常利益,S002,特別,232380768,206980783
20230520,博報堂,デジタル統括,財務経理部,企画課,2023,202305,1Q,200003,減価償却費,S004,見込,250549620,345233329
20240721,博報堂DYメディアパートナーズ,デジタル統括,第二営業部,運用課,2024,202407,2Q,200002,経費,S001,通常,290444274,273169363
20240103,博報堂DYメディアパートナーズ,デジタル統括,第一営業部,第三課,2023,202401,4Q,100002,売上原価,S003,調整,275668641,287416246
20231002,博報堂DYメディアパートナーズ,営業統括,経営企画部,第一課,2023,202310,3Q,400001,媒体手数料収入,S002,特別,34460308,39151603
20240216,博報堂プロダクツ,メディア統括,制作部,運用課,2023,202402,4Q,300002,経常利益,S003,調整,62208141,55865621
20240803,大広,デジタル統括,メディアプランニング部,管理課,2024,202408,2Q,500001,広告主負担金,S002,特別,383510577,407139622
20241128,大広,クリエイティブ統括,人事部,管理課,2024,202411,3Q,100001,売上高,S001,通常,36318056,54601285
20240212,読売広告社,メディア統括,財務経理部,第二課,2023,202402,4Q,500002,媒体社リベート,S002,特別,8734511,9640044
20231208,博報堂,クリエイティブ統括,クリエイティブ部,管理課,2023,202312,3Q,400003,コンサルティング収入,S001,通常,206470978,217884381
20230713,読売広告社,クリエイティブ統括,クリエイティブ部,運用課,2023,202307,2Q,400003,コンサルティング収入,S003,調整,13019574,12093754
20240620,博報堂DYメディアパートナーズ,メディア統括,第一営業部,第三課,2024,202406,1Q,200002,経費,S005,確定,77195577,115181346
20240404,博報堂,管理統括,第二営業部,企画課,2024,202404,1Q,200003,減価償却費,S001,通常,215770941,235330830
20240721,読売広告社,メディア統括,第一営業部,第一課,2024,202407,2Q,200003,減価償却費,S005,確定,98356498,76198972
20250228,大広,デジタル統括,第一営業部,推進課,2024,202502,4Q,200002,経費,S003,調整,6790872,8134076
20241216,博報堂プロダクツ,クリエイティブ統括,第二営業部,第一課,2024,202412,3Q,300001,営業利益,S005,確定,437771795,318321835
20240815,読売広告社,デジタル統括,クリエイティブ部,第二課,2024,202408,2Q,100002,売上原価,S005,確定,160445701,130820741
20250226,読売広告社,クリエイティブ統括,制作部,企画課,2024,202502,4Q,100002,売上原価,S004,見込,84058760,60680594
20231025,博報堂DYメディアパートナーズ,メディア統括,クリエイティブ部,第一課,2023,202310,3Q,200001,人件費,S003,調整,199759821,261254740
20241009,大広,メディア統括,経営企画部,第二課,2024,202410,3Q,400001,媒体手数料収入,S003,調整,222231744,263102012
20230812,博報堂DYメディアパートナーズ,管理統括,メディアプランニング部,企画課,2023,202308,2Q,400001,媒体手数料収入,S001,通常,295827161,237453514
20240424,大広,デジタル統括,人事部,管理課,2024,202404,1Q,100003,売上総利益,S003,調整,196599160,288104004
20240608,大広,デジタル統括,クリエイティブ部,第三課,2024,202406,1Q,400001,媒体手数料収入,S004,見込,128903363,122763419
20231219,読売広告社,クリエイティブ統括,第二営業部,管理課,2023,202312,3Q,400003,コンサルティング収入,S003,調整,20856807,16639599
20250114,大広,営業統括,人事部,企画課,2024,202501,4Q,200001,人件費,S002,特別,580423730,487912744
20230804,博報堂,デジタル統括,経営企画部,第三課,2023,202308,2Q,300001,営業利益,S003,調整,534073575,481769287
20250110,博報堂プロダクツ,クリエイティブ統括,デジタルマーケティング部,運用課,2024,202501,4Q,400001,媒体手数料収入,S003,調整,420419710,420704840
20241203,大広,メディア統括,第二営業部,運用課,2024,202412,3Q,500002,媒体社リベート,S003,調整,72332280,117560181
20250119,読売広告社,メディア統括,第一営業部,第二課,2024,202501,4Q,500001,広告主負担金,S005,確定,120184774,174045176
20240503,大広,管理統括,制作部,第二課,2024,202405,1Q,300002,経常利益,S001,通常,282062974,371262490
20240306,読売広告社,デジタル統括,財務経理部,管理課,2023,202403,4Q,200003,減価償却費,S004,見込,282693502,353973044
20240927,読売広告社,メディア統括,第一営業部,第一課,2024,202409,2Q,100002,売上原価,S002,特別,374162522,273327769
20240103,大広,管理統括,第一営業部,開発課,2023,202401,4Q,100001,売上高,S003,調整,62550855,103253842
20241104,博報堂プロダクツ,営業統括,メディアプランニング部,第二課,2024,202411,3Q,100002,売上原価,S002,特別,337859367,328347364
20230524,博報堂,クリエイティブ統括,財務経理部,第二課,2023,202305,1Q,400002,制作収入,S005,確定,52786207,44975596
20240918,博報堂,デジタル統括,制作部,第三課,2024,202409,2Q,400003,コンサルティング収入,S002,特別,305675702,430743234
20241008,博報堂DYメディアパートナーズ,デジタル統括,第二営業部,推進課,2024,202410,3Q,500002,媒体社リベート,S003,調整,309231437,330032565
20241010,博報堂,デジタル統括,経営企画部,推進課,2024,202410,3Q,400001,媒体手数料収入,S005,確定,281355194,270681675
20230416,博報堂,メディア統括,人事部,運用課,2023,202304,1Q,400003,コンサルティング収入,S002,特別,245602483,370902957
20240415,博報堂プロダクツ,デジタル統括,クリエイティブ部,第二課,2024,202404,1Q,500002,媒体社リベート,S004,見込,276125934,428284501
20240310,博報堂,デジタル統括,総務部,第一課,2023,202403,4Q,500001,広告主負担金,S003,調整,86528140,93129724
20230710,大広,管理統括,第二営業部,運用課,2023,202307,2Q,400003,コンサルティング収入,S001,通常,211349114,327219778
20230725,読売広告社,デジタル統括,総務部,管理課,2023,202307,2Q,100002,売上原価,S001,通常,93348266,116556429
20230918,博報堂,メディア統括,クリエイティブ部,第三課,2023,202309,2Q,300001,営業利益,S001,通常,101995573,84800936
20241017,博報堂DYメディアパートナーズ,デジタル統括,総務部,第一課,2024,202410,3Q,200003,減価償却費,S005,確定,389684115,380979351
20231214,大広,デジタル統括,財務経理部,運用課,2023,202312,3Q,500001,広告主負担金,S002,特別,222139706,355388229
20240426,読売広告社,管理統括,デジタルマーケティング部,第三課,2024,202404,1Q,100003,売上総利益,S002,特別,259639547,420172382
20250127,読売広告社,デジタル統括,制作部,第一課,2024,202501,4Q,400001,媒体手数料収入,S005,確定,171980935,141108180
20240207,博報堂,管理統括,総務部,開発課,2023,202402,4Q,500002,媒体社リベート,S001,通常,289485242,442130674
20240214,博報堂DYメディアパートナーズ,管理統括,デジタルマーケティング部,第三課,2023,202402,4Q,300001,営業利益,S001,通常,245262759,190338012
20250205,博報堂プロダクツ,デジタル統括,メディアプランニング部,第二課,2024,202502,4Q,100001,売上高,S003,調整,7826984,9077535
20240525,博報堂DYメディアパートナーズ,営業統括,第二営業部,第一課,2024,202405,1Q,500001,広告主負担金,S002,特別,138229411,188695817
20231109,博報堂プロダクツ,メディア統括,経営企画部,開発課,2023,202311,3Q,100002,売上原価,S003,調整,87633157,113540590
20230721,博報堂DYメディアパートナーズ,デジタル統括,第一営業部,第一課,2023,202307,2Q,500002,媒体社リベート,S003,調整,94196753,82384143
20240217,博報堂DYメディアパートナーズ,営業統括,第二営業部,開発課,2023,202402,4Q,500001,広告主負担金,S005,確定,14965566,22851771
20230507,博報堂プロダクツ,営業統括,メディアプランニング部,推進課,2023,202305,1Q,400002,制作収入,S004,見込,470498117,495307361
20240301,大広,メディア統括,経営企画部,第二課,2023,202403,4Q,300002,経常利益,S001,通常,101149454,110679571
20250207,博報堂DYメディアパートナーズ,メディア統括,デジタルマーケティング部,第二課,2024,202502,4Q,200002,経費,S004,見込,271860878,334737810
20240319,博報堂プロダクツ,メディア統括,メディアプランニング部,第二課,2023,202403,4Q,100002,売上原価,S001,通常,42385930,62755545
20250214,博報堂プロダクツ,管理統括,メディアプランニング部,第二課,2024,202502,4Q,400001,媒体手数料収入,S005,確定,144138766,196797000
20241215,博報堂プロダクツ,デジタル統括,財務経理部,運用課,2024,202412,3Q,200002,経費,S002,特別,180998250,192864797
20240125,博報堂DYメディアパートナーズ,メディア統括,総務部,開発課,2023,202401,4Q,300001,営業利益,S001,通常,148852855,162238571
20230505,博報堂,メディア統括,財務経理部,管理課,2023,202305,1Q,200003,減価償却費,S005,確定,143037682,134501194
20230405,博報堂プロダクツ,管理統括,制作部,開発課,2023,202304,1Q,300001,営業利益,S004,見込,216852829,291818309
20240519,博報堂DYメディアパートナーズ,メディア統括,人事部,開発課,2024,202405,1Q,200002,経費,S003,調整,188362088,219693830
20231219,博報堂プロダクツ,メディア統括,第二営業部,開発課,2023,202312,3Q,100003,売上総利益,S001,通常,222917315,264520645
20240723,博報堂,営業統括,制作部,第二課,2024,202407,2Q,200003,減価償却費,S001,通常,185751454,185671248
20240511,博報堂プロダクツ,管理統括,第一営業部,企画課,2024,202405,1Q,200001,人件費,S005,確定,339622788,253722483
20240216,博報堂DYメディアパートナーズ,デジタル統括,経営企画部,第二課,2023,202402,4Q,200001,人件費,S001,通常,605197661,439619972
20230512,博報堂DYメディアパートナーズ,クリエイティブ統括,総務部,企画課,2023,202305,1Q,300001,営業利益,S001,通常,444565996,375714487
20240505,大広,デジタル統括,総務部,企画課,2024,202405,1Q,200001,人件費,S001,通常,141761130,121073648
20240106,読売広告社,営業統括,財務経理部,推進課,2023,202401,4Q,400003,コンサルティング収入,S003,調整,354247856,475669385
20230421,博報堂,クリエイティブ統括,第一営業部,第一課,2023,202304,1Q,200003,減価償却費,S004,見込,3348223,2570682
20241025,博報堂プロダクツ,デジタル統括,デジタルマーケティング部,企画課,2024,202410,3Q,400003,コンサルティング収入,S002,特別,160398383,159956098
20231108,博報堂プロダクツ,管理統括,財務経理部,管理課,2023,202311,3Q,400002,制作収入,S001,通常,375864588,408555166
20231118,博報堂プロダクツ,営業統括,総務部,第一課,2023,202311,3Q,200002,経費,S003,調整,193784699,184185408
20241122,読売広告社,メディア統括,制作部,管理課,2024,202411,3Q,300001,営業利益,S002,特別,515810130,441464101
20230809,博報堂,管理統括,人事部,開発課,2023,202308,2Q,500001,広告主負担金,S001,通常,413334973,456141077
20230804,博報堂,メディア統括,クリエイティブ部,第三課,2023,202308,2Q,500001,広告主負担金,S002,特別,37433680,27820476
20250201,博報堂DYメディアパートナーズ,メディア統括,デジタルマーケティング部,第一課,2024,202502,4Q,500001,広告主負担金,S002,特別,261006754,297701123
20250211,読売広告社,メディア統括,制作部,管理課,2024,202502,4Q,100002,売上原価,S005,確定,414499752,412461978
20240809,大広,デジタル統括,クリエイティブ部,第三課,2024,202408,2Q,300002,経常利益,S001,通常,371313963,482804635
